Status,Part Name,Serial Number,Project Name,Details,Opened By,Approval Requested From,Approved,Approved By,Approval Date,Received Date,Received State,Ordered By,Date Ordered,Company,Inventory Synced,Maintenance Component,Maintenance Task,Maintenance Task ID,Wait ID
Received,Die 140,345,,the first 140 is stuck,,,Yes,,2025-04-17,,Located in inventory,,2026-01-23,SG,Yes,,,,
Ordered,coating DS,123,,tiger project need,Ohad,,Yes,,2026-03-30,,,,2026-03-30,,,,,,
Ordered,coating OF,123,Tiger,tiger project need,Ohad,,Yes,,,,,,2025-05-08,,,,,,
Received,גרפית לתנור,202225,,fd,אוהד,df,Yes,df,2026-03-28,,Waiting for inventory action,fd,2026-03-28,SG,Pending,,,,
Ordered,Coating::Coating_KS_1-002,,,Auto-created from low stock alert,operator,,Yes,,2026-03-30,,,D OR E,2026-03-30,SG,,,,,
Received,Coating::Coating_OF_136,,,Auto-created from low stock alert,operator,,Yes,,2026-03-30,2026-03-30,Located in inventory,,2026-03-30,,Yes,,,,
Wait for Approval,Coating::DS-2015,,,Auto-created from low stock alert,operator,dfds,No,,,,,,,,,,,,
Opened,Coating::DS-2042,,Maintenance,Auto-created from low stock alert,operator,,No,,,,,,,,,,,,
Ordered,COAT X,123,TAMAM - TIGER,Hello,OHAD,,Yes,,2026-03-30,,,X2,2026-03-30,Desolite,,,,,
Opened,Graphite set / insulation parts,,,Maintenance hold: 63mm Furnace System — Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed (Task ID: FUR-MNT-008). Reason: Warn down | Request 1/2,operator,,No,,,,,,,SG,,63mm Furnace System,Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed,FUR-MNT-008,1775291888697
Opened,Graphite set / insulation parts,,,Maintenance hold: 63mm Furnace System — Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed (Task ID: FUR-MNT-008). Reason: Warn down | Request 2/2,operator,,No,,,,,,,SG,,63mm Furnace System,Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed,FUR-MNT-008,1775291888697
Opened,Bottom sleeve top cap,,,"Maintenance hold: 63mm Furnace System — On-condition: inspect/replace bottom sleeve top cap when eroded (e.g., length reduction >3 mm) (Task ID: FUR-MNT-015). Reason: waiting for part",operator,,No,,,,,,,SG,,63mm Furnace System,"On-condition: inspect/replace bottom sleeve top cap when eroded (e.g., length reduction >3 mm)",FUR-MNT-015,1775292184003
Opened,Bearing set,,Maintenance,"Auto maintenance planning: Bottom Centering Pulley + Break Detector — Weekly: check pulley rotates freely, bearing play, and clean V-groove (Task ID: BP-MNT-002). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Bottom Centering Pulley + Break Detector,"Weekly: check pulley rotates freely, bearing play, and clean V-groove",BP-MNT-002,
Opened,IPA wipes / cleaning cloth,,Maintenance,"Auto maintenance planning: Bottom Centering Pulley + Break Detector — Weekly: check pulley rotates freely, bearing play, and clean V-groove (Task ID: BP-MNT-002). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Bottom Centering Pulley + Break Detector,"Weekly: check pulley rotates freely, bearing play, and clean V-groove",BP-MNT-002,
Opened,Bearing set,,Maintenance,Auto maintenance planning: Capstan System — Every 3 months: check bearings are not worn (sealed for life) (Task ID: CAP-MNT-002). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Capstan System,Every 3 months: check bearings are not worn (sealed for life),CAP-MNT-002,
Opened,Pre-filter element,,Maintenance,"Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers (Task ID: CAS-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),"Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers",CAS-MNT-003,
Opened,Pre-filter seal/gasket,,Maintenance,"Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers (Task ID: CAS-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),"Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers",CAS-MNT-003,
Opened,IPA wipes / cleaning cloth,,Maintenance,"Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers (Task ID: CAS-MNT-003). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),"Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers",CAS-MNT-003,
Opened,Pre-filter element,,Maintenance,Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect (Task ID: CAS-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,CAS-MNT-004,
Opened,Pre-filter seal/gasket,,Maintenance,Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect (Task ID: CAS-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,CAS-MNT-004,
Opened,HEPA filter element,,Maintenance,Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect (Task ID: CAS-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,CAS-MNT-004,
Opened,HEPA gasket/seal,,Maintenance,Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect (Task ID: CAS-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,CAS-MNT-004,
Opened,IPA wipes / cleaning cloth,,Maintenance,Auto maintenance planning: Clean Air System (HEPA + Pre-filter + Fan Cabinet) — Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect (Task ID: CAS-MNT-004). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Clean Air System (HEPA + Pre-filter + Fan Cabinet),Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,CAS-MNT-004,
Opened,Furnace bottom door set,,Maintenance,Auto maintenance planning: 63mm Furnace System — Monthly: inspect bottom doors for distortion/damage; replace if needed (Task ID: FUR-MNT-006). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,63mm Furnace System,Monthly: inspect bottom doors for distortion/damage; replace if needed,FUR-MNT-006,
Opened,IPA wipes / cleaning cloth,,Maintenance,Auto maintenance planning: 63mm Furnace System — Every 6 months OR 3000 operating hours: inspect vacuum pump filter cleanliness (Task ID: FUR-MNT-011). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,63mm Furnace System,Every 6 months OR 3000 operating hours: inspect vacuum pump filter cleanliness,FUR-MNT-011,
Opened,Furnace heating element,,Maintenance,"Auto maintenance planning: 63mm Furnace System — On-condition: replace heating element when voltage trend increases (e.g., >2 V above new) (Task ID: FUR-MNT-014). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,63mm Furnace System,"On-condition: replace heating element when voltage trend increases (e.g., >2 V above new)",FUR-MNT-014,
Opened,IPA wipes / cleaning cloth,,Maintenance,"Auto maintenance planning: General Tower Components — Daily: cleanliness, smooth operation, pulley condition (Task ID: LUB-GEN-001). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,General Tower Components,"Daily: cleanliness, smooth operation, pulley condition",LUB-GEN-001,
Opened,Applicator seal kit,,Maintenance,Auto maintenance planning: Pressurised Coating System — Monthly: lubricate applicator gimbals and X‑Y adjustment mechanism (Task ID: LUB-PCS-001). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Pressurised Coating System,Monthly: lubricate applicator gimbals and X‑Y adjustment mechanism,LUB-PCS-001,
Opened,Bearing set,,Maintenance,"Auto maintenance planning: Guide Pulley + Fibre Tension Gauge — Weekly: check pulley rotation, bearing play, and clean V-groove (Task ID: TG-MNT-001). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Guide Pulley + Fibre Tension Gauge,"Weekly: check pulley rotation, bearing play, and clean V-groove",TG-MNT-001,
Opened,IPA wipes - small,,Maintenance,"Auto maintenance planning: Guide Pulley + Fibre Tension Gauge — Weekly: check pulley rotation, bearing play, and clean V-groove (Task ID: TG-MNT-001). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Guide Pulley + Fibre Tension Gauge,"Weekly: check pulley rotation, bearing play, and clean V-groove",TG-MNT-001,
Opened,IPA wipes / cleaning cloth,,Maintenance,"Auto maintenance planning: Mini Capstan — Weekly: inspect cleanliness, roller bearings, carriage bearings, glass embedment, lubricate, check pneumatic leaks (Task ID: MC-MNT-002). Mandatory part missing inside the task parts-check window.",operator,,No,,,,,,,,,Mini Capstan,"Weekly: inspect cleanliness, roller bearings, carriage bearings, glass embedment, lubricate, check pneumatic leaks",MC-MNT-002,
Opened,IPA wipes / cleaning cloth,,Maintenance,Auto maintenance planning: Preform Feed Assembly — Daily: inspect cleanliness and smooth operation of clamp and X-Y slides (Task ID: PF-MNT-001). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Preform Feed Assembly,Daily: inspect cleanliness and smooth operation of clamp and X-Y slides,PF-MNT-001,
Opened,Drive belt,,Maintenance,Auto maintenance planning: Take Up Winder — Every 6 months: inspect drive train (belt tension + contamination/wear/damage) (Task ID: TUW-MNT-003). Mandatory part missing inside the task parts-check window.,operator,,No,,,,,,,,,Take Up Winder,Every 6 months: inspect drive train (belt tension + contamination/wear/damage),TUW-MNT-003,
